title,url,publish_date,matching_keyword,word_count,html_file,markdown_file
A Comprehensive Critical Examination of Muhammad’s Prophethood,https://www.maxshimbaministries.org/2025/12/a-comprehensive-critical-examination-of.html,"December 20, 2025",muhammad,5253,,
ISLAM IS A PATH THAT LEADS TO HELL,https://www.maxshimbaministries.org/2025/12/islam-is-path-that-leads-to-hell.html,"December 20, 2025",islam,456,,
THE ISLAMIC SPIRIT-PROPHET MUHAMMAD CANNOT SAVE ANY FOLLOWER OF ISLAM,https://www.maxshimbaministries.org/2025/12/the-islamic-spirit-prophet-muhammad.html,"December 20, 2025",islam,865,,
THE QURAN IS NOT THE WORD OF ALLAH NOR GOD,https://www.maxshimbaministries.org/2025/12/the-quran-is-not-word-of-allah-nor-god.html,"December 20, 2025",muslim,492,,
Daughter of Lancashire Imam Converts to Christianity and Is Baptized,https://www.maxshimbaministries.org/2025/12/daughter-of-lancashire-imam-converts-to.html,"December 20, 2025",islam,102,,
Did Angel Jibril Ever Introduce Himself to Muhammad? Let’s Debate.,https://www.maxshimbaministries.org/2025/12/did-angel-jibril-ever-introduce-himself.html,"December 20, 2025",islam,288,,
Did Jibril Ever Say His Name to Muhammad?,https://www.maxshimbaministries.org/2025/12/did-jibril-ever-say-his-name-to-muhammad.html,"December 20, 2025",islam,387,,
ALLAH MADE A GREAT SCIENTIFIC AND GEOGRAPHICAL ERROR ABOUT THE SETTING OF THE SUN,https://www.maxshimbaministries.org/2025/12/allah-made-great-scientific-and.html,"December 20, 2025",muslim,956,,
Was Muhammad Demonically Influenced? A Critical Examination,https://www.maxshimbaministries.org/2025/12/was-muhammad-demonically-influenced_20.html,"December 20, 2025",islam,608,,
Scientific Errors in the Quran: A Critical Examination,https://www.maxshimbaministries.org/2025/12/scientific-errors-in-quran-critical.html,"December 20, 2025",muslim,853,,
Was Allah a “Flat-Earther”? A Scholarly Reflection on Qur’an 15:19 and Ancient Cosmology,https://www.maxshimbaministries.org/2025/12/was-allah-flat-earther-scholarly.html,"December 20, 2025",islam,789,,
The Qur’an: Incomplete Revelation or Twisted Text?,https://www.maxshimbaministries.org/2025/12/the-quran-incomplete-revelation-or.html,"December 20, 2025",islam,724,,
God Speaks Through His Son: The Finality of Revelation in Christ,https://www.maxshimbaministries.org/2025/12/god-speaks-through-his-son-finality-of.html,"December 20, 2025",muhammad,851,,
The Veiling of Oppression: Women and Structural Misogyny in Islam,https://www.maxshimbaministries.org/2025/12/the-veiling-of-oppression-women-and.html,"December 20, 2025",islam,693,,
Contradictions in the Quran: A Theological and Textual Examination,https://www.maxshimbaministries.org/2025/12/contradictions-in-quran-theological-and.html,"December 20, 2025",muslim,610,,
Confusion in the Mosque,https://www.maxshimbaministries.org/2025/12/confusion-in-mosque.html,"December 18, 2025",mosque,0,,
Disturbing acts of revenge are taking place in Australia. Pig heads had been thrown at Muslim graves #BondiBeach #Australia #SydneyNews,https://www.maxshimbaministries.org/2025/12/disturbing-acts-of-revenge-are-taking.html,"December 18, 2025",muslim,17,,
Just like Muhammad,https://www.maxshimbaministries.org/2025/12/just-like-muhammad.html,"December 18, 2025",muhammad,0,,
"Miracles of Allah??!!!! Ohhh no000oooo, The Bible or Quran?",https://www.maxshimbaministries.org/2025/12/miracles-of-allah-ohhh-no000oooo-bible.html,"December 18, 2025",quran,0,,
"Minister for Immigration and Integration Rasmus Stoklund stated that burqas and niqabs ""have no place in a Danish classroom",https://www.maxshimbaministries.org/2025/12/minister-for-immigration-and.html,"December 18, 2025",burqa,19,,
"SEND ALL MUSLIMS TERRORISTS, BACK TO THEIR OWN COUNTRY",https://www.maxshimbaministries.org/2025/12/send-all-muslims-terrorists-back-to.html,"December 18, 2025",muslim,0,,
IMPECCABLE PROOF OF MUHAMMAD WAS A FAKE PROPHET,https://www.maxshimbaministries.org/2025/12/impeccable-proof-of-muhammad-was-fake.html,"December 18, 2025",muhammad,0,,
Muhammadans against Christmas Trees,https://www.maxshimbaministries.org/2025/12/muhammadans-against-christmas-trees.html,"December 18, 2025",muhammad,0,,
Allah has two right hands,https://www.maxshimbaministries.org/2025/12/allah-has-two-right-hands.html,"December 18, 2025",allah,7,,
Merry Christmas from our beautiful Arabic Christmas hymns to the world,https://www.maxshimbaministries.org/2025/12/merry-christmas-from-our-beautiful.html,"December 18, 2025",eid,58,,
"While #Japanese society enjoys its culinary traditions, muslim people struggle to find #halal food",https://www.maxshimbaministries.org/2025/12/while-japanese-society-enjoys-its.html,"December 18, 2025",muslim,9,,
A muslim podcaster demanded that more Halal food should be offered on tourist spots in USA,https://www.maxshimbaministries.org/2025/12/a-muslim-podcaster-demanded-that-more.html,"December 18, 2025",islam,41,,
"Allah, Mohammed and Islam couldn't help the. In Muslim lands",https://www.maxshimbaministries.org/2025/12/allah-mohammed-and-islam-couldnt-help.html,"December 18, 2025",islam,37,,
"Is the Qur’an Allah? Is the Qur’an identical to Allah, or distinct from Allah?",https://www.maxshimbaministries.org/2025/12/is-quran-allah-is-quran-identical-to.html,"December 16, 2025",islam,599,,
"Where in the Qur’an does it explicitly state that Muhammad is a son or direct descendant of Abraham, or where Abraham himself declares Muhammad as his descendant?",https://www.maxshimbaministries.org/2025/12/where-in-quran-does-it-explicitly-state.html,"December 16, 2025",muhammad,296,,
"THE TWO SEAS’ WATER NOT MIXING, IS THIS A MIRACLE OF ALLAH OR A LACK OF KNOWLEDGE?",https://www.maxshimbaministries.org/2025/12/the-two-seas-water-not-mixing-is-this.html,"December 16, 2025",muslim,764,,
The Paradox of Paternal Authority and Spiritual Maternity in Islam: A Theological and Logical Examination of Qur’an 33:6 and 33:40,https://www.maxshimbaministries.org/2025/12/the-paradox-of-paternal-authority-and.html,"December 16, 2025",islam,955,,
Comparative Reflections on Moral Leadership: Michael Jackson and Muhammad,https://www.maxshimbaministries.org/2025/12/comparative-reflections-on-moral.html,"December 16, 2025",muhammad,509,,
A Comparative Ethical Analysis of Michael Jackson and Muhammad,https://www.maxshimbaministries.org/2025/12/a-comparative-ethical-analysis-of.html,"December 16, 2025",muhammad,854,,
The Issue of Slavery in the Life of Prophet Muhammad: A Critical Examination,https://www.maxshimbaministries.org/2025/12/the-issue-of-slavery-in-life-of-prophet.html,"December 16, 2025",islam,690,,
Muhammad’s Engagement with Slavery,https://www.maxshimbaministries.org/2025/12/muhammads-engagement-with-slavery.html,"December 16, 2025",muhammad,890,,
The Falsehood of the Islamic Religion,https://www.maxshimbaministries.org/2025/12/the-falsehood-of-islamic-religion.html,"December 16, 2025",islam,2486,,
Religious Freedom and Persecution in Uganda: Converts Facing Deadly Violence,https://www.maxshimbaministries.org/2025/12/religious-freedom-and-persecution-in.html,"December 16, 2025",islam,407,,
The Irony of Muhammad as the “Best of Mankind” versus the Miraculous Claims of His Birth,https://www.maxshimbaministries.org/2025/12/the-irony-of-muhammad-as-best-of.html,"December 16, 2025",islam,663,,
Desecration of the Holy Qur’an in Saudi Arabia Raises Global Concern,https://www.maxshimbaministries.org/2025/12/desecration-of-holy-quran-in-saudi.html,"December 16, 2025",muslim,309,,
"Bananas, Cucumbers, and the Politics of Gendered Morality in Islam",https://www.maxshimbaministries.org/2025/12/bananas-cucumbers-and-politics-of.html,"December 16, 2025",islam,499,,
Muhammad as a Wolf in Sheep’s Clothing: A Theological and Historical Analysis of Prophetic Deception in Light of Biblical Standards,https://www.maxshimbaministries.org/2025/12/muhammad-as-wolf-in-sheeps-clothing.html,"December 16, 2025",islam,883,,
The Myth of Muhammad’s Fragrant Sweat: A Scientific and Theological Critique,https://www.maxshimbaministries.org/2025/12/the-myth-of-muhammads-fragrant-sweat.html,"December 16, 2025",islam,1438,,
Muhammad as a False Prophet in Light of Galatians 1:8,https://www.maxshimbaministries.org/2025/12/muhammad-as-false-prophet-in-light-of_9.html,"December 09, 2025",muhammad,750,,
Why Islamic Punishment for Adultery Appears Contradictory and Unequal,https://www.maxshimbaministries.org/2025/12/why-islamic-punishment-for-adultery.html,"December 09, 2025",islam,437,,
Why Is the Color Black Revered in Islam?,https://www.maxshimbaministries.org/2025/12/why-is-color-black-revered-in-islam.html,"December 09, 2025",islam,702,,
The Cousin of Muhammad Who Renounced Islam,https://www.maxshimbaministries.org/2025/12/the-cousin-of-muhammad-who-renounced.html,"December 09, 2025",islam,742,,
THE COUSIN OF MUHAMMAD WHO RENOUNCED ISLAM,https://www.maxshimbaministries.org/2025/12/the-cousin-of-muhammad-who-renounced_9.html,"December 09, 2025",islam,549,,
The Qur’an Admits that Satan Dwells on the Straight Path: A Theological Critique of Islam,https://www.maxshimbaministries.org/2025/12/the-quran-admits-that-satan-dwells-on.html,"December 09, 2025",islam,1120,,
The Societal and Security Implications of Full-Face Coverings,https://www.maxshimbaministries.org/2025/12/the-societal-and-security-implications.html,"December 09, 2025",burqa,590,,
MUHAMMAD IS WORSHIPPED BY BEASTS AND TREES: A CRITICAL ANALYSIS OF AÏSHA’S TESTIMONY,https://www.maxshimbaministries.org/2025/12/muhammad-is-worshipped-by-beasts-and.html,"December 09, 2025",muhammad,789,,
"A scholarly exploration of the Tirmidhī narration about a camel’s prostration, prostration and shirk, and related theological questions",https://www.maxshimbaministries.org/2025/12/a-scholarly-exploration-of-tirmidhi.html,"December 09, 2025",hadith,2675,,
Abraham Never Built the Kaʿbah — A Scholarly Examination,https://www.maxshimbaministries.org/2025/12/abraham-never-built-kabah-scholarly.html,"December 09, 2025",islam,2767,,
DO YOU KNOW THE FIRST INFIDEL IN THE WORLD?,https://www.maxshimbaministries.org/2025/12/do-you-know-first-infidel-in-world.html,"December 09, 2025",islam,871,,
Was Adam’s First Created Organ His Genitalia?,https://www.maxshimbaministries.org/2025/12/was-adams-first-created-organ-his.html,"December 09, 2025",islam,1009,,
The First Organ Created in Adam: A Theological Examination,https://www.maxshimbaministries.org/2025/12/the-first-organ-created-in-adam.html,"December 09, 2025",islam,684,,
Muhammad as a False Prophet in Light of Galatians 1:8,https://www.maxshimbaministries.org/2025/12/muhammad-as-false-prophet-in-light-of.html,"December 09, 2025",muhammad,831,,
Muhammad as a False Prophet in Light of Galatians 1:8,https://www.maxshimbaministries.org/2025/12/muhammad-as-false-prophet-in-light-of_53.html,"December 09, 2025",muhammad,680,,
The Qur’an or the Bible?,https://www.maxshimbaministries.org/2025/12/the-quran-or-bible.html,"December 09, 2025",islam,543,,
The Biblical Command of Love vs. the Quranic Permission of Violence,https://www.maxshimbaministries.org/2025/12/the-biblical-command-of-love-vs-quranic.html,"December 09, 2025",quran,546,,
Isaiah 9:6–7 and the Question of Corruption:,https://www.maxshimbaministries.org/2025/12/isaiah-967-and-question-of-corruption.html,"December 09, 2025",islam,812,,
The Power of Isaiah 9:6–7: Responding to the Islamic Claim of “Corruption”,https://www.maxshimbaministries.org/2025/12/the-power-of-isaiah-967-responding-to.html,"December 09, 2025",islam,661,,
Prophetic Guidance on Marital Boundaries: A Critical Examination,https://www.maxshimbaministries.org/2025/12/prophetic-guidance-on-marital.html,"December 09, 2025",muhammad,662,,
Prophetic Guidance on Marital Boundaries: A Critical Examination,https://www.maxshimbaministries.org/2025/12/prophetic-guidance-on-marital_9.html,"December 09, 2025",muhammad,941,,
Why Are 90% (or More) of the Prophets Named in the Qurʾān Jewish Men?,https://www.maxshimbaministries.org/2025/12/why-are-90-or-more-of-prophets-named-in.html,"December 09, 2025",muslim,1782,,
"If All Are Born Muslim, Why the Need for Religion and Prophets?",https://www.maxshimbaministries.org/2025/12/if-all-are-born-muslim-why-need-for.html,"December 09, 2025",islam,835,,
"If All Are Born Muslim, Why the Need for Religion and Prophets?",https://www.maxshimbaministries.org/2025/12/if-all-are-born-muslim-why-need-for_9.html,"December 09, 2025",islam,751,,
The Question of Salvation in Islam and Christianity,https://www.maxshimbaministries.org/2025/12/the-question-of-salvation-in-islam-and.html,"December 09, 2025",islam,393,,
The Prohibition of Friendship with Non-Muslims in Islam,https://www.maxshimbaministries.org/2025/12/the-prohibition-of-friendship-with-non.html,"December 09, 2025",islam,829,,
The Prohibition of Friendship with Non-Muslims in Islam: A Critical Examination of Qur’anic Teaching and Theological Implications,https://www.maxshimbaministries.org/2025/12/the-prohibition-of-friendship-with-non_9.html,"December 09, 2025",islam,779,,
The Anthropomorphic Dilemma: Allah’s “Shin” and the Question of Divine Uniqueness,https://www.maxshimbaministries.org/2025/12/the-anthropomorphic-dilemma-allahs-shin.html,"December 09, 2025",islam,721,,
Islam and the Prophetic Fulfillment of Revelation 13,https://www.maxshimbaministries.org/2025/12/islam-and-prophetic-fulfillment-of.html,"December 09, 2025",islam,584,,
Was Muhammad Demonically Influenced? A Critical Examination,https://www.maxshimbaministries.org/2025/12/was-muhammad-demonically-influenced.html,"December 09, 2025",islam,608,,
Christian Theological Reflection: Prayer Fulfilled in Christ,https://www.maxshimbaministries.org/2025/12/christian-theological-reflection-prayer.html,"December 09, 2025",islam,379,,
The Contradiction of Muhammad’s Alleged Heavenly Journey and the Obligation of Prayer,https://www.maxshimbaministries.org/2025/12/the-contradiction-of-muhammads-alleged.html,"December 09, 2025",islam,957,,
The Injeel in the Quran: A Counterfeit Gospel,https://www.maxshimbaministries.org/2025/12/the-injeel-in-quran-counterfeit-gospel.html,"December 09, 2025",quran,703,,
The Injeel in the Quran: A Counterfeit Gospel,https://www.maxshimbaministries.org/2025/12/the-injeel-in-quran-counterfeit-gospel_9.html,"December 09, 2025",quran,387,,
